No,year,month,day,hour,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
12001,2013,5,11,18,1,77,72,74,13,47.33,1005,25,SW,3,0,0
12002,2013,5,11,19,1,98,99,101,14,53.62,1006,24,SW,5,0,0
12003,2013,5,11,20,1,132,121,126,16,68.81,1006,22,SW,7,0,0
12004,2013,5,11,21,1,142,149,133,15,64.54,1007,22,SE,3,0,0
12005,2013,5,11,22,1,160,165,152,15,68.61,1007,21,SW,4,0,0
12006,2013,5,11,23,1,173,174,164,16,77.79,1007,20,SE,3,0,0
12007,2013,5,12,0,1,180,159,172,16,77.79,1007,20,SE,6,0,0
12008,2013,5,12,1,1,,152,165,16,82.77,1007,19,SE,9,0,0
12009,2013,5,12,2,1,165,146,156,16,82.77,1007,19,SW,3,0,0
12010,2013,5,12,3,1,162,136,149,15,77.64,1007,19,SE,2,0,0
12011,2013,5,12,4,1,163,137,150,15,82.65,1007,18,SE,4,0,0
12012,2013,5,12,5,1,155,137,156,15,82.65,1007,18,SE,6,0,0
12013,2013,5,12,6,1,158,143,150,16,82.77,1008,19,SE,8,0,0
12014,2013,5,12,7,1,158,137,149,17,77.94,1008,21,SW,3,0,0
12015,2013,5,12,8,1,158,121,139,17,64.98,1008,24,SW,6,0,0
12016,2013,5,12,9,1,134,98,124,16,51.05,1008,27,SW,10,0,0
12017,2013,5,12,10,1,120,93,113,15,42.62,1008,29,SW,14,0,0
12018,2013,5,12,11,1,90,63,76,15,42.62,1008,29,SW,18,0,0
12019,2013,5,12,12,1,76,54,63,12,33.11,1007,30,SW,21,0,0
12020,2013,5,12,13,1,65,50,59,11,29.27,1007,31,SW,26,0,0
12021,2013,5,12,14,1,64,51,62,10,27.38,1006,31,SE,5,0,0
12022,2013,5,12,15,1,52,42,60,9,27.11,1006,30,SW,6,0,0
12023,2013,5,12,16,1,60,64,58,11,30.99,1006,30,SW,11,0,0
12024,2013,5,12,17,1,70,57,71,13,37.44,1006,29,SW,16,0,0
12025,2013,5,12,18,1,65,58,66,10,34.49,1006,27,SE,5,0,0
12026,2013,5,12,19,1,,74,,11,41.49,1006,25,SE,9,0,0
12027,2013,5,12,20,1,92,84,90,14,53.62,1007,24,SE,15,0,0
12028,2013,5,12,21,1,81,68,79,14,56.95,1008,23,SE,20,0,0
12029,2013,5,12,22,1,65,,66,13,56.69,1008,22,SE,26,0,0
12030,2013,5,12,23,1,62,,61,13,60.27,1008,21,SE,31,0,0
12031,2013,5,13,0,1,67,,,14,64.32,1008,21,SE,37,0,0
12032,2013,5,13,1,1,64,,61,14,68.4,1008,20,SE,43,0,0
12033,2013,5,13,2,1,,,59,14,68.4,1007,20,SE,48,0,0
12034,2013,5,13,3,1,58,,59,15,72.96,1007,20,SE,52,0,0
12035,2013,5,13,4,1,57,,59,15,77.64,1007,19,SE,55,0,0
12036,2013,5,13,5,1,58,,58,15,77.64,1008,19,SE,58,0,0
12037,2013,5,13,6,1,57,,62,16,77.79,1008,20,SE,61,0,0
12038,2013,5,13,7,1,62,,67,16,73.14,1008,21,SE,65,0,0
12039,2013,5,13,8,1,72,71,69,17,64.98,1009,24,SE,68,0,0
12040,2013,5,13,9,1,81,69,74,17,57.69,1008,26,SE,71,0,0
12041,2013,5,13,10,1,87,78,82,17,51.31,1008,28,SE,74,0,0
12042,2013,5,13,11,1,86,77,86,17,45.72,1008,30,SE,77,0,0
12043,2013,5,13,12,1,81,71,83,10,27.38,1008,31,SE,81,0,0
12044,2013,5,13,13,1,63,63,77,15,38.01,1007,31,SE,85,0,0
12045,2013,5,13,14,1,68,70,69,15,40.24,1007,30,SE,91,0,0
12046,2013,5,13,15,1,73,60,72,17,45.72,1007,30,SE,98,0,0
12047,2013,5,13,16,1,67,51,62,16,45.44,1006,29,SE,105,0,0
12048,2013,5,13,17,1,66,56,66,18,57.93,1007,27,SE,111,0,0
